text,verb,explanation,madarian,romen,ro_correct,hanzi,han_correct,page,description,toggle
Gouverner,va, -- une maison,管家,taong ka,,當家,,286,,TRUE
Gouverner,va, -- une maison,管家,’koé ka,,管家,,286,,TRUE
Gouverner,va, -- sa barque d'après le vent,看风行船,k‘eu’ fong hang zé,,看風行船,,286,,TRUE
Gouverneur,sm,d'une province,巡抚,zin ’fou,,巡撫,,286,,TRUE
Gouverneur,sm," -- ,,(vulgo)",通俗用语,’fou dai,,撫臺,,286,,TRUE
Gouverneur,sm, -- général. Vice-roi,总督,’tsong tôh,,總督,,286,,TRUE
Gouverneur,sm, -- général. Vice-roi,总督,tse’ dai,,制臺,,286,,TRUE
Grâce,sf,Faveur,厚意,en,,恩,,286,,TRUE
Grâce,sf,Faveur,厚意,en ’tié,,恩典,,286,,TRUE
Grâce,sf, -- à Dieu,天主赏赐,T‘ié ’tsu ’saong se’,,天主賞賜,,286,,TRUE
Grâce,sf,Remise d'une peine,免除刑罚,souo’ zu’,,赦罪,,286,,TRUE
Grâce,sf,Remise d'une peine,免除刑罚,k‘oé ’mié,,寬免,,286,,TRUE
Grâce,sf,Faire -- de la vie,饶命,gnao ming’,,饒命,,286,,TRUE
Grâce,sf, --！--！,求饶！求饶！,’t‘ao gnao,,討饒,,286,,TRUE
Grâce,sf, --！--！,求饶！求饶！,ghieû ’mié ghieû ’mié ,,求免求免,,286,,TRUE
Grâce,sf,Remercîment,感谢,’ké zia’,,感謝,,286,Remercîment现在已经不使用这个词了，转为使用remerciement,TRUE
Grâce,sf,Rendre --s,感谢,pao’ en péh zin’,,報恩不盡,,286,,TRUE
Grâce,sf, -- à vous,多亏了您,t‘oh foh(koang),,托福（光）,,286,,TRUE
Grâce,sf,Dire ses grâces,叙说他的恩典,gnè’ vè’ heû’ kieng,,念飯後經,,286,,TRUE
Grâce,sf,Don surnaturel(C.),超自然的天赋,seng’ ’ts‘ong,,聖寵,,286,,TRUE
Grâce,sf, -- actuelle(C.),实际存在的恩典,seng’ yeû’,,聖佑,,286,,TRUE
Grâce,sf, -- actuelle(C.),实际存在的恩典,’ts‘ong yeû’,,寵佑,,286,,TRUE
Grâce,sf, -- habituelle(C.),习惯性的恩典,lieû ke’ seng’ ’ts‘ong,,留个聖寵,,286,,TRUE
Grâce,sf, -- habituelle(C.),习惯性的恩典,’ts‘ong ai’,,寵愛,,286,,TRUE
Grâce,sf, -- sanctifiante.(C.),圣宠,zeng seng’ ke’ ’ts‘ong ai’,,成聖个寵愛,,286,,TRUE
Gracieux,adj,,和蔼可亲的,wen ’ya,,文雅,,286,,TRUE
Gracieux,adj,,和蔼可亲的,’yeû ’li mao’,,有禮貌,,286,,TRUE
Grade,sm,littéraire,文学,kong ming,,功名,,286,,TRUE
Grade,sm,Obtenir le -- de bachelier,高中毕业,tsin’ hoh,,進學,,286,这个法文词义的中文我不是很确定,TRUE
Grade,sm,",, ,,--de licencié",学士学位,tsong’ ’kiu gnen,,中舉人,,286,,TRUE
Grade,sm,",, ,,--de docteur",博士学位,tsong’ tsin’ ze’,,中進士,,286,,TRUE
Grade,sm,Dignité,头衔,koé ngè,,官銜,,286,,TRUE
Grade,sm,Dignité,头衔,’p‘in kieh,,品級,,286,,TRUE
Gradé,sm,militaire,军官,’wou koé,,武官,,287,,TRUE
Gradué,sm,,渐增的,’yeû kong ming,,有功名,,287,,TRUE
Gradué,sm, --s supérieurs,科甲,k‘ou kèh,,科甲,,287,,TRUE
Gradué,sm,docteur,博士,tsin’ ze’,,進士,,287,,TRUE
Gradué,sm,académicien,科学院院士,h‘eu’ lin,heu’ lin,翰林,,287,,TRUE
Graduellement,adv,,逐渐地,zié’ zié’ tse,,漸漸之,,287,,TRUE
Graduellement,adv,,逐渐地,a tse ts‘e’ di’,,挨之次第,,287,,TRUE
Gradin,sm,,台阶,ih kieh,,一級,,287,,TRUE
Gradin,sm, -- d'autel,祭台台阶,dèh bou’ ke’ kieh deû,,踏步个級頭,,287,,TRUE
Gradin,sm, -- d'autel,祭台台阶,lèh ghiao,,蠟橋,,287,,TRUE
Grain,sm,,谷粒,’tse,,子,,287,,TRUE
Grain,sm, -- de céréales,谷粒,lih,,粒,,287,,TRUE
Grain,sm,Faire le commerce de --s,贩卖粮食,fè’ liang zeh,,販粮食,,287,保留簡體,TRUE
Grain,sm,Un --[de chapelet],一粒串珠,ih lih,,一粒,,287,,TRUE
Grain,sm,Un --. Averse subite,一阵暴雨,ih zen’ waong fong(’yu),ih zen’ wang fong(’yu),一陣横風（雨）,,287,,TRUE
Graine,sf,,种子,’tse,,子,,287,,TRUE
Graine,sf,,种子,’tsong ’tse(liang),,種子（糧）,,287,,TRUE
Grainetier,sm,,贩卖种子、粮食、饲料、蔬菜等的（人）,"k‘ai deû’ mah(liang zeh,lôh zen)hang",,開豆麥（糧食，六陳）行,,287,这个“行”里面有一个点，但是找不到这个字,TRUE
Graisse,sf,,脂肪,yeû gnôh,,油肉,,287,,TRUE
Graisse,sf,,脂肪,tse yeû,,脂油,,287,,TRUE
Graisse,sf, -- de bœuf,牛油,gneû yeû,,牛油,,287,,TRUE
Graisser,va,les habits,衣服上沾了油,tèh yeû gni’,,搭油膩,,287,,TRUE
Graisser,va,les habits,衣服上沾了油,p‘éh yeû tsih,,潑油迹,,287,,TRUE
Graisser,va, -- l'essieu d'une voiture,车轴上油,ts‘ouo ghiôh laong’ t‘èh (méh) yeû,,車軸上搨（抹）油,,287,,TRUE
Grammaire,sf,,语法,wen koei,,文規,,287,,TRUE
Grand,adj,,大的,dou’ ke’,,大个,,287,,TRUE
Grand,adj,Long,长,zang ke’,,長个,,287,,TRUE
Grand,adj,Haut,高,kao ke,kao ke’,高个,,287,,TRUE
Grand,adj,Ni trop -- ni trop petit.,不太大不太小,véh yao’ t‘ai’ dou’ ’a véh yao’ t‘ai’ ’siao,,勿要太大也勿要太小,,287,,TRUE
Grand,adj,Ni trop -- ni trop petit.,不太大不太小,véh dou’ véh ’siao ke’,,勿大勿小个,,287,,TRUE
Grandeur,sf,Dignité,头衔,kao wei’,,高位,,287,,TRUE
Grandeur,sf,Dignité,头衔,tsiah wei’,,爵位,,287,,TRUE
Grandeur,sf,Faste,奢侈,’t‘i mié’,,體面,,287,,TRUE
Grandeur,sf,Faste,奢侈,ba’ zang,ba zang,排場,,287,變調,TRUE
Grandeur,sf,"Quantité,capacité",质量，容量,dou’ ’siao,,大小,,287,,TRUE
Grandir,vn,Croître,长,’tsang,,長,,287,,TRUE
Grandir,vn,Croître,长,fèh,,發,,287,,TRUE
Grandir,vn,Croître,长,’tsang zeng,,長成,,287,,TRUE
Grand-père,sm,paternel,祖父,’tsou vou’,,祖父,,287,,TRUE
Grand-père,sm,paternel,祖父,da’ da’,,大大,,287,,TRUE
Grand-père,sm,paternel,祖父,nga’ ’tsou vou’,,外祖父,,287,,TRUE
Grand-père,sm,maternel,祖父,nga’ kong,,外公,,287,,TRUE
Grand-père,sm,maternel,祖父,da’ da’,,大大,,287,,TRUE
Grand-mère,sf,paternelle,祖母,’tsou ’mou,,祖母,,287,,TRUE
Grand-mère,sf,paternelle,祖母,ah ’na,,阿奶,,287,,TRUE
Grand-mère,sf,maternelle,祖母,nga’ ’tsou ’mou,,外祖母,,287,,TRUE
Grand-mère,sf,maternelle,祖母,nga’ bou ah ’na,,外婆阿奶,,287,,TRUE
Granit,sm,,花岗岩,ts‘ing zah,,青石,,287,,TRUE
Granit,sm,,花岗岩,waong souo zah,,黄沙石,,287,,TRUE
Granuleux,adj,Terre granuleuse,颗粒状土壤,souo ’t‘ou,,沙土,,287,,TRUE
Granuleux,adj,Terre granuleuse,颗粒状土壤,souo’ gni,souo gni,沙泥,,287,,TRUE
Grappe,sf,de raisin,葡萄串,ih ts‘é(ghieû) péh dao,ih ts‘é’(ghieû) béh dao,一串（球）葡萄,,287,待定 一作“逑”,TRUE
Grappin,sm,,钓鱼钩,keû,,鈎,,287,,TRUE
Grappin,sm,,钓鱼钩,se’ ’ts‘e deû mao,,四齒頭錨,,287,,TRUE
Grappin,sm,Mettre le--,抓钩,tèh keû,,搭鈎,,287,,TRUE
Gras,sm,,脂肪的,"yeû(pi,wi)gnôh","yeû(bi,wi)gnôh",油（肥）肉,,287,待定,TRUE
Gras,sm, -- de la jambe,脚肚子肉,’p‘aong ’dou ’tse,,膀肚子,,287,待定 膀聲調,TRUE
Gras,adj,,脂肪的,tsaong’,,壯,,287,,TRUE
Gras,adj,,脂肪的,’koen tsaong’ ke’,,滚壯个,,287,,TRUE
Gras,adj,Homme --,胖子,tsaong’ p‘aong’ ke’,,壯胖个,,288,,TRUE
Gras,adj,Homme --,胖子,p‘aong gnen,p‘aong’ gnen,胖人,,288,,TRUE
Gras,adj,Porc--,肥猪肉,tsaong’ tse,,壯猪,,288,,TRUE
Gras,adj,Sali. ,赃,’yeû yeû ’se(gni’),,有油水（膩）,,288,,TRUE
Gras,adj,Chapeau --,沾了油水的帽子,yeû gni’ mao’ ’tse,,油膩帽子,,288,,TRUE
Gras,adj,Bouillon--,原汁肉汤,gnôh t‘aong,,肉湯,,288,,TRUE
Gras,adj,"Aliments-(Pa.)=viande, aulx, oignons, etc",食物=肉，大蒜，洋葱等,hoen ts‘ai’,h‘oen ts‘ai’,葷菜,,288,,TRUE
Gras,adj,"Aliments-(Pa.)=viande, aulx, oignons, etc",食物=肉，大蒜，洋葱等,dou’ hoen,dou’ h‘oen,大葷,,288,,TRUE
Gras,adj,"Aliments-(Pa.)=viande, aulx, oignons, etc",食物=肉，大蒜，洋葱等,’siao hoen,’siao h‘oen,小葷,,288,,TRUE
Gras,adj,On ne fait pas --.(C.),不吃荤,véh k‘ieh hoen(gnôh),véh k‘ieh h‘oen(gnôh),勿吃葷（肉）,,288,,TRUE
Gratification,sf,,奖金,’saong dié,,賞錢,,288,,TRUE
Gratification,sf,,奖金,’tsieû dié,,酒錢,,288,,TRUE
Gratification,sf,,奖金,’saong gnen(fong),,賞銀（封）,,288,,TRUE
Gratification,sf,,奖金,nga’ k‘oa’,,外快,,288,,TRUE
Gratifier,va,,赏赐,’saong se’,,賞賜,,288,,TRUE
Gratifier,va, --qqn de…,赏赐…,’saong ’saong i,,賞賞伊,,288,,TRUE
Gratin,sm,,脆皮,kou pa,,鍋粑,鍋巴,288,待定,TRUE
Gratin,sm, -- de rie,锅巴饭,vè’ ze’,,飯滯,飯糍,288,聲調待定,TRUE
Gratis,adv,,免费地,bah,,白,,288,,TRUE
Gratis,adv,,免费地,bah song’,,白送,,288,,TRUE
Gratis,adv,,免费地,bah ’li ’tsin song’,,白裏儘送,,288,,TRUE
Gratis,adv,,免费地,bah bah ’li ke’,,白白裏个,,288,,TRUE
Gratitude,sf,,感激,’ké en,,感恩,,288,,TRUE
Gratitude,sf,Montrer de la --,展现感激,fèh hié’ liang sin,fèh ’hié liang sin,發顯良心,,288,,TRUE
Gratter,va,,刮,koèh,,刮,,288,,TRUE
Gratter,va,,刮,koèh t‘éh,,刮脱,,288,,TRUE
Gratter,vr,Se --,自己搔痒,tsao ’yang,,抓癢,,288,,TRUE
Gratter,vr,Se --,自己搔痒,tsao ih ’pouo,,搔一把,抓一把,288,待定,TRUE
Grattoir,sm,,刮字刀,koèh tao,,刮刀,,288,,TRUE
Gratuit,adj,,无偿的,bah,,白,,288,,TRUE
Gratuit,adj,,无偿的,’souo,,捨,,288,,TRUE
Gratuit,adj,,无偿的,gni’,,義,,288,,TRUE
Gratuit,adj,,无偿的,bah song’ ke’,,白送个,,288,,TRUE
Gratuit,adj,Bac --,免费渡船,gni’ dou’,,義渡,,288,,TRUE
Gratuit,adj,Thé --,免费茶,se zouo,,施茶,,288,,TRUE
Gratuit,adj,Dispensaire--,免费诊所,se yah ghiôh,,施藥局,,288,,TRUE
Gratuit,adj,Dispensaire--,免费诊所,se i ghiôh,,施醫局,,288,,TRUE
Gratuit,adj. Fig,Sans fondement,无凭无据,m bing m kiu’ ke’,,無憑無據个,嘸憑嘸據个,288,,TRUE
Gratuitement,adv,,无偿地,bah song’,,白送,,288,,TRUE
Grave,adj,Posé,稳重,’wen ’zong gnen,,穩重人,,288,,TRUE
Grave,adj,Posé,稳重,’heû ’zong gnen,,厚重人,,288,,TRUE
Grave,adj,Important,严重,dou’,,大,,288,,TRUE
Grave,adj,Faute --,重罪,dou’ zu’,,大罪,,288,,TRUE
Grave,adj,Dangereux,危险,’zong,,重,,288,,TRUE
Grave,adj,Maladie--,重病,’zong bing’,,重病,,288,,TRUE
Grave,adj,Bas,低,ti,,低,,288,,TRUE
Grave,adj,Ton --,低声,ti sang,,低聲,,288,,TRUE
Gravement,adv,,严肃地,’zong ’zong neng,,重重能,,288,,TRUE
Gravé,pp,dans le cœur,刻在心里,k‘eh ’la sin ’li,,刻拉心裏,,288,,TRUE
Graveleux,adj,(Langage),粗话,ts‘ou wo’,,粗話,,288,,TRUE
Graveleux,adj,(Langage),粗话,véh zéh diao ke’ seh wo’,,勿入調个説話,,288,,TRUE
Gravelle,sf,,肾结石,lin tseng’,,淋症,,288,,TRUE
Graver,va,,刻,k‘eh,,刻,,288,,TRUE
Graver,va,,刻,tiao k‘eh,,雕刻,,288,,TRUE
Graver,va, --des caractères,刻字,k‘eh ze’,,刻字,,288,,TRUE
Graveur,sm,,雕刻师,tiao ziang’,,雕匠,,288,,TRUE
Graveur,sm, -- de cachets,刻章的人,k‘eh dou su ke’,,刻圖畫个,,288,,TRUE
Gravier,sm,,砂砾,ts‘ou souo ’tse,,粗沙子,,288,,TRUE
Gravier,sm,,砂砾,sé’ zah deû,,碎石頭,,288,,TRUE
Gravir,va,une montagne,登山,bè,,[並足],,288,,TRUE
Gravir,va,une montagne,登山,lôh,,䟿,？,288,,TRUE
Gravir,va,une montagne,登山,zaong’,,上,,288,,TRUE
Gravure,sf,,雕刻,yen’ ke’ ziang’,,印个像,,288,,TRUE
Gré,sm,(À votre),随你便,zu bié’ nong’,,隨便儂,,288,,TRUE
Gré,sm,(À votre),随你便,ts‘en’ nong’ bié’,,趁儂便,,288,,TRUE
Gré,sm,Cela est à son --.,正合他意,"tsao’(tei’,heh) i ke’ i’ se","tsao’(tei’,héh) i ke’ i’ se",照（對，合）伊个意思,,288,,TRUE
Gré,sm,Cela est à son --.,正合他意,ze’ dao’(kiao’)’h‘ao,,自道（叫）好,,289,,TRUE
Gré,sm,De bon --,甘心,ké sin,,甘心,,289,,TRUE
Gré,sm,De plein --,心甘情愿,zing gneu’,,情願,,289,,TRUE
Gré,sm,De mauvais --,被迫,’mié ’k‘iang,,免强,勉强,289,,TRUE
Gré,sm,De mauvais --,被迫,véh zing gneu’,,勿情願,,289,,TRUE
Gré,sm,Traiter de -- à --,商量,saong liang,,商量,,289,,TRUE
Gré,sm,Traiter de -- à --,商量,kong dong bè’,,公同辦,,289,,TRUE
Gré,sm,"Bon -- mal --, il faut…",喜欢与否，都需要…,’k‘eng véh ’k‘eng(gneu’ véh gneu’)’tsong yao’,,肯勿肯（願勿願）總要,,289,,TRUE
Grèce,sf,,希腊,hi-lèh kôh,,希臘國,,289,,TRUE
Grèce,sf,,希腊,ngeh-leh-si-ya,ngeh-leh-si-’ya,額肋西亞,,289,,TRUE
Greffe,sm,,接穗,eu’ waong,,案房,,289,,TRUE
Greffe,sm,,接穗,’kao waong,,稿房,,289,,TRUE
Greffe,sf,,接穗,tsih deû,,接頭,,289,,TRUE
Greffer,va,,嫁接,tsih zu’,,接樹,,289,,TRUE
Greffier,sm,,书记官,dai’ su,,代書,,289,,TRUE
Greffier,sm,,书记官,su pè(li’),,書班（吏）,,289,,TRUE
Grège,adj,(Soie),丝绸,sang se,,生絲,,289,,TRUE
Grêle,sf,,冰雹,ping p‘ié’(pao’),,冰片（雹）,,289,待定,TRUE
Grêle,sf,,冰雹,ping k‘oei’,,冰塊,,289,,TRUE
Grêle,adj,,细长的,si’,,細,,289,,TRUE
Grêle,adj,,细长的,’siao,,小,,289,,TRUE
Grêlé,adj,,遭受冰雹损坏的,mô,,麻,,289,,TRUE
Grêlé,adj,Visage --,麻子脸,mô ’tse,,麻子,,289,,TRUE
Grêlé,adj,Ravagé par la grêle,遭受冰雹损坏的,ping k‘oei’ ’tang wa’,,冰塊打壞,,289,,TRUE
Grêler,v. imp,Il grêle.,下冰雹了,loh ping k‘oei’(p‘ié’),,落冰塊（片）,,289,,TRUE
Grêlon,sm,,雹（粒）,ping k‘oei’,,冰塊,,289,,TRUE
Grelot,sm,,铃铛,ling,,鈴,,289,,TRUE
Grelotter,sf,,发抖,’teû,,抖,,289,,TRUE
Grelotter,sf,,发抖,’lang lai ’teû ’lao ’teû,,冷來抖咾抖,,289,,TRUE
Grelotter,sf,,发抖,wen sen ’lin ’lin neng,,渾身凛凛能,,289,,TRUE
Grenade ,sf,,石榴,zah lieû,,石榴,,289,,TRUE
Grenadier,sm,,石榴树,zah lieû zu’,,石榴樹,,289,,TRUE
Grenier,sm,,谷仓,k‘i’ leû,,氣樓,,289,,TRUE
Grenier,sm,,谷仓,koh ,,閣,,289,,TRUE
Grenier,sm, -- public,粮仓,ts‘aong waong,,倉房,,289,,TRUE
Grenier,sm, -- public,粮仓,ts‘aong ’lin,,倉廩,,289,,TRUE
Grenouille,sf,,青蛙,dié ki,,田鷄,,289,,TRUE
Grenouille,sf,,青蛙,kéh tou [ih tsah],,蛤[虫㐌][一隻],?,289,待定,TRUE
Grès,sm,,砂岩,souo zah,,砂石,,289,,TRUE
Grésil,sf,Il grésil.,下学子,sih tsu,,雪珠,,289,,TRUE
Grésil,sf,Il grésil.,下学子,loh sih tsu,,落雪珠,,289,,TRUE
Grève,sf,,沙滩,’h‘ai(souo)t‘è,,海（沙）灘,,289,,TRUE
Grève,sf, -- d'ouvriers,工人罢工,ziang’ gnen ’ping zi tse ’lao véh tsou’,,匠人併齊之咾勿做,,289,,TRUE
Grief,sm,,抱怨,yeu k‘ieuh,,冤屈,,289,,TRUE
Grief,sm,,抱怨,’wei k‘ieuh,,委屈,,289,,TRUE
Grièvement,adv,,严重地,zong’,,重,,289,,TRUE
Grièvement,adv,,严重地,li’ hai’,,利害,,289,,TRUE
Grièvement,adv, -- malade,病得厉害,bing’ sang teh hai’ li’,bing’ sang teh li’ hai’,病生得害利,病生得利害,289,待定 按照罗马字改正,TRUE
Griffe,sf,,爪子,’tsao,,爪,,289,,TRUE
Griffer,va,,抓,’la,,攋,,289,,TRUE
Griffer,va,,抓,tsao sé’,,抓碎,,289,,TRUE
Griffonner,va,,潦草地写,’sia véh ts‘ing ’saong,,寫勿清爽,,289,,TRUE
Grignoter,va,,啃,’k‘en ,,齦,啃,289,待定 肯是eng,TRUE
Grignoter,va,,啃,nga t‘éh,,牙脱,齖脱,289,,TRUE
Grigou,sm, Vieux --,老守财奴,’lao pôh bi,,老剥皮,,289,,TRUE
Grigou,sm, Vieux --,老守财奴,mih sieh gnen,,覓息人,,289,待定,TRUE
Gril,sm,,烤架,t‘ih leng,,鐵楞,,289,,TRUE
Gril,sm,,烤架,tseh zaong,,炙床,,289,,TRUE
Grillade,sf,,烤鱼,’ts‘ao(tseh)gnôh,,炒（炙）肉,,289,,TRUE
Grille,sf,,烤架,sah lè,,栅欄,,289,,TRUE
Grille,sf, -- en fer,铁栅栏,t‘ih sah lè(lè keu),,鐵栅欄（欄杆）,,289,,TRUE
Griller,va,,烤,tseh,,炙,,290,,TRUE
Griller,va,,烤,hiun,,熏,,290,,TRUE
Griller,va,,烤,ts‘ao,,炒,,290,,TRUE
Grillon,sm,,蟋蟀,’zè tsieh,,[斬虫]螂,？？,290,待定,TRUE
Grillon,sm,,蟋蟀,yeû wou lou,,蝣蝴蠦,,290,,TRUE
Grimace,sf,,鬼脸,koa’ yeng koa’ zaong’,,怪形怪狀,,290,,TRUE
Grimacer,vn,,做鬼脸,tsou’ ’kiu koa’,,做鬼怪,,290,,TRUE
Grimacer,vn,,做鬼脸,pè’ ’kiu ’lié,,扮鬼臉,,290,,TRUE
Grimpante,adj,(Plante),植物,bè deng h‘ouo,,[並足]藤花,,290,,TRUE
Grimper,vn,,向上爬行,bè zaong’ k‘i’,,[並足]上去,,290,,TRUE
Grimper,vn,,向上爬行,bouo ’k‘i lai,,爬上來,,290,,TRUE
Grimper,vn,,向上爬行,bouo,,爬,,290,,TRUE
Grincer,vn,des dents,咬牙切齿,’ngao nga ts‘ih ’ts‘e,,咬牙切齒,,290,,TRUE
Grippe,sf,,流行性感冒患者,saong fong k‘éh seû’,,傷風咳嗽,,290,,TRUE
Gripper,va,Dérober,偷窃,ts‘ih ’ts‘u,,竊取,,290,,TRUE
Gripper,va,Dérober,偷窃,’ts‘iang zah,,搶着,,290,,TRUE
Grippe-sou,sm,,贪图小利之辈,t‘é ’siao li’,,貪小利,,290,,TRUE
Gris,adj, -- cendré,灰,hoei seh,h‘oei seh,灰色,,290,,TRUE
Gris,adj," -- de plomb, de fer",铅灰色,ts‘ing hoei seh,ts‘ing h‘oei seh,青灰色,,290,,TRUE
Gris,adj,Cheveux --,灰发,deû fèh lou h‘ouo seh ’la ’tsé,,頭髮蘆花色拉者,,290,,TRUE
Gris,adj,Barbe --e,胡子花白,wou ’tse h‘ouo ’tsé,,鬍子花者,,290,,TRUE
Grisonner,vn,,（毛发）变花白,h‘ouo,,花,,290,,TRUE
Grisonner,vn,,（毛发）变花白,fèh bah,,發白,,290,,TRUE
Grive,sf,,斑鸫,souo ki,,沙鷄,,290,,TRUE
Grive,sf,,斑鸫,wo’ mei,wo’ mi,畫眉,,290,待定,TRUE
Grogner,vn,,发出低沉沉的叫声,ziang’ tse lou kiao’,,像猪獹叫,,290,,TRUE
Grogner,vn,Être sans cesse à --,不停地抱怨,’tse ts‘eû,’tse ts‘eû’,嘴臭,,290,,TRUE
Grogner,vn,Être sans cesse à --,不停地抱怨,pah yé ’pi,,百嫌比,,290,,TRUE
Groin,sm,,嘴 ,tse ’tse fong,,猪嘴峰,,290,,TRUE
Grommeler,vn,,低声抱怨,ki ’li kou ’lou,ki ’li kou lou,嗘囇呱囉,？,290,待定 以及囉聲調,TRUE
Grommeler,vn,,低声抱怨,ze’ gni ze’ m,,自語自無,自呢自嘸,290,待定,TRUE
Grommeler,vn,,低声抱怨,t‘en t‘en t‘ou’ t‘ou’,,吞吞吐吐,,290,,TRUE
Gronder,va,qqn,埋怨某人,ma yeu’ i,,埋怨伊,,290,,TRUE
Gronder,va,qqn,埋怨某人,nao’ i ih ten’,,鬧伊一頓,,290,,TRUE
Gronder,va,qqn,埋怨某人,tsah bei’ i,,責備伊,,290,,TRUE
Gronder,vn,,低沉地嗥叫,’hiang,,响,,290,保留簡體,TRUE
Gronder,vn,,低沉地嗥叫,yeng’ seng ’hiang,,應聲响,,290,保留簡體,TRUE
Gronder,vn,La foule gronde.,人们闹哄哄地,gnen tou hong nao’,gnen tou h‘ong nao’,人多哄鬧,,290,,TRUE
Gronder,vn,"Le tonnerre ,, .",雷声隆隆,lei ’hiang,,雷响,,290,保留簡體,TRUE
Gronder,vn,"Le canon,,",炮声阵阵,p‘ao’ ’hiang,,炮响,,290,保留簡體,TRUE
Gros,adj,,巨大的,ts‘ou,,粗,,290,,TRUE
Gros,adj,Grosse toile,粗布,ts‘ou pou’,,粗布,,290,,TRUE
Gros,adj,Considérable,大,dou’,,大,,290,,TRUE
Gros,adj, -- village,大村子,dou’ ts‘en haong’,,大村巷,,290,,TRUE
Gros,adj, -- village,大村子,dou’ zah ki,,大宅基,,290,,TRUE
Gros,adj, -- homme,胖子,tsaong’ ke’ gnen,,壯个人,,290,,TRUE
Gros,adj,Très -- homme,大胖子,p‘aong’ ’tse,,胖子,,290,,TRUE
Gros,sm,vendre en --,批发,’ten taong ma’,,躉當賣,,290,,TRUE
Gros,sm,vendre en --,批发,fèh ma’,,發賣,,290,,TRUE
Gros,sm,En -- et en détail,概述或详述,’ten taong ’lao ling sé’ zi ma’,,躉當咾零碎齊買,躉當咾零碎齊賣,290,,TRUE
Gros,sm,Raconter en --,说个大概,wo’ ke’ da’ kai’(yah),,話个大概（约）,,290,,TRUE
Groseille,sf,,醋栗,ling taong ’kou,,鈴鐺果,,290,,TRUE
Grossesse,sf,,怀孕,’yeû yun’,,有孕,,290,,TRUE
Grossesse,sf,,怀孕,’zou ’hi,,坐喜,,290,,TRUE
Grosseur,sf,,粗细,ts‘ou si’,,粗细,,290,,TRUE
Grossier,adj,,粗野的，粗鲁的，粗俗的，无礼的,ts‘ou ’ts‘en,,粗蠢,,291,,TRUE
Grossier,adj,,粗野的，粗鲁的，粗俗的，无礼的,ts‘ou ben’,,粗笨,,291,,TRUE
Grossier,adj,Homme -,粗野的人，粗俗的人,ts‘ou ’lou gnen,,粗魯人,,291,,TRUE
Grossier,adj,Homme -,粗野的人，粗俗的人,ts‘ou p‘ei,,粗㚰,,291,,TRUE
Grossier,adj,Paroles grossières,粗鲁的话,ts‘ou wo’,,粗話,,291,,TRUE
Grossier,adj,"Dire des ,, ,,",说粗鲁的话,tséh ts‘ou,,出粗,,291,,TRUE
Grossier,adj,Travail -,粗糙的工作,ts‘ou sang wéh,,粗生活,,291,,TRUE
Grossier,adj,Riz -,糙米,ts‘ou vè’,,粗飯,,291,,TRUE
Grossir,va,,使变大，使显得大,t‘ié dou’ ih ’ngè,,添大一眼,,291,,TRUE
Grossir,vn,Engraisser,长胖，发胖,fèh p‘aong’,,發胖,,291,,TRUE
grotesque,ndj,,奇形怪状的；怪诞的；令人发笑的，滑稽的,koa’ deû koa’ ’nao,,怪頭怪腦,,291,,TRUE
grotesque,ndj,,奇形怪状的；怪诞的；令人发笑的，滑稽的,kou koa’,,古怪,,291,,TRUE
grotte,sf,,岩洞，山洞，洞穴,sè dong’,,山洞,,291,,TRUE
grouiller,vn,,蠢动，乱躜乱动,yong ’lao ’yong,,踊咾踊,,291,,TRUE
grouiller,vn,,蠢动，乱躜乱动,yôh ’lao yôh,,喐咾喐,？咾？,291,待定,TRUE
groupe,sm,d'hommes,一群人,ih dao (ghiun) gnen,,一淘（群）人,,291,,TRUE
grouper,va,,集中；结集，聚集,ba,,排,,291,,TRUE
grouper,va,,集中；结集，聚集,ba dei’,,排隊,,291,,TRUE
grue,sf,,鹤,t‘ié ngou,,天鵝,,291,,TRUE
grue,sf,,鹤,bah ngou,,白鵝,,291,,TRUE
gué,sm,,可涉水而过的地方,’tsié di ’faong,’ts‘ié di ’faong,淺地方,,291,,TRUE
gué,sm,,可涉水而过的地方,tsié t‘è,’ts‘ié t‘è,淺灘,,291,,TRUE
gué,sm,Passer à -,涉水过河,"bè pang (wou,’se)",,[並足]浜(河，水),,291,,TRUE
gué,sm,Passer à -,涉水过河,bè kou’ k‘i’,,[並足]過去,,291,,TRUE
guenille,sf,,褴褛的衣衫，破烂的衣服,p‘ou’ i zaong,,破衣裳,,291,,TRUE
guenille,sf,En -s,衣衫褴褛的,’ts‘ah kiah ling ting,ts‘ah kiah ling ting,赤脚零丁,,291,印刷錯誤,TRUE
guenille,sf,En -s,衣衫褴褛的,ziang’ kao’ h‘ouo’ ’tse,,像教化子,,291,待定 一作“叫化子” ,TRUE
guêpe,sf,,胡蜂；黄蜂；泥蜂,wou fong,,蝴蜂,,291,,TRUE
guêpier,sm,,胡蜂巢；黄蜂巢；泥蜂巢,wou fong k‘ou,,蝴蜂窩,蝴蜂窠,291,,TRUE
guère,adv,,不大，不很，很少,’sao,,少,,291,,TRUE
guère,adv,,不大，不很，很少,véh tou,,勿多,,291,,TRUE
guère,adv,,不大，不很，很少,’yeû yè’,,有限,,291,,TRUE
guère,adv,[Cela] n'est - bon,不太好,véh da’ ’h‘ao,,勿大好,,291,,TRUE
